gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,awards_won,avg_training_score,is_promoted
f,sourcing,1,35,5,8,1,0,49,0
m,other,1,30,5,4,0,0,60,0
m,sourcing,1,34,3,7,0,0,50,0
m,other,2,39,1,10,0,0,50,0
m,other,1,45,3,2,0,0,73,0
m,sourcing,2,31,3,7,0,0,85,0
f,other,1,31,3,5,0,0,59,0
m,sourcing,1,33,3,6,0,0,63,0
m,other,1,28,4,5,0,0,83,0
m,sourcing,1,32,5,5,1,0,54,0
m,sourcing,1,30,,1,0,0,77,0
f,sourcing,1,35,5,3,1,0,50,1
m,sourcing,1,49,5,5,1,0,49,0
m,other,2,39,3,16,0,0,80,0
m,sourcing,1,37,3,7,0,0,84,0
m,other,1,37,1,10,0,0,60,0
m,other,1,38,3,5,1,0,77,0
m,other,1,34,1,4,0,0,51,0
m,other,1,34,5,8,1,0,46,0
m,other,1,37,3,9,0,0,59,0
m,other,1,35,3,7,0,0,75,0
m,sourcing,1,41,4,11,0,0,57,0
f,other,1,28,3,4,0,0,63,0
m,other,1,27,,1,0,0,70,0
m,sourcing,2,39,5,7,0,0,59,0
m,other,1,27,5,3,1,0,83,0
m,other,1,31,5,4,1,0,68,0
m,other,1,33,4,4,0,0,79,0
m,other,1,29,5,3,1,0,80,0
m,sourcing,1,26,,1,0,0,44,0
m,sourcing,1,37,5,10,1,0,72,0
m,other,2,26,1,2,0,0,61,0
f,sourcing,1,24,1,2,0,0,48,0
m,sourcing,2,57,4,6,0,0,58,0
m,other,2,27,5,3,1,0,87,0
m,other,1,40,2,4,1,0,47,0
m,sourcing,1,33,4,4,1,0,75,0
f,sourcing,1,40,5,3,0,0,47,0
m,other,1,42,5,5,1,0,51,0
m,sourcing,1,33,5,6,1,0,51,1
m,other,1,34,3,10,0,0,80,0
f,other,2,23,4,2,1,0,57,0
m,sourcing,1,59,4,26,1,0,52,0
m,other,3,24,2,2,0,0,48,0
m,other,1,44,5,12,0,0,88,0
f,sourcing,1,50,5,11,0,0,71,0
f,other,1,37,4,4,0,0,71,0
m,sourcing,1,40,3,11,0,0,80,0
m,sourcing,1,30,3,3,1,0,49,0
f,sourcing,1,56,3,12,0,0,73,0
m,sourcing,1,20,4,2,1,0,60,0
f,sourcing,1,31,3,8,0,0,48,0
m,sourcing,1,40,3,12,1,0,65,0
m,other,1,30,1,6,0,0,50,0
m,other,1,39,3,5,1,0,62,0
m,other,2,26,2,2,0,0,85,0
f,other,1,29,,1,0,0,49,0
m,sourcing,1,40,3,5,1,0,84,0
m,other,2,27,,1,1,0,47,0
m,other,1,40,4,7,0,0,52,0
m,other,1,50,4,17,1,0,47,1
m,sourcing,1,25,3,3,0,0,53,0
f,other,1,28,,1,1,0,80,0
m,sourcing,1,35,4,2,1,0,52,0
m,other,1,34,5,5,0,0,87,0
f,sourcing,1,31,3,3,1,0,58,0
m,other,1,27,,1,1,1,58,1
m,sourcing,1,27,,1,0,0,61,1
m,other,1,30,4,6,1,0,75,0
m,other,1,30,3,7,1,0,84,1
f,other,1,50,5,5,1,0,59,0
m,other,1,34,5,7,1,0,78,1
f,sourcing,1,41,1,12,0,0,52,0
m,sourcing,1,32,4,6,0,0,44,0
m,other,1,50,3,14,0,0,52,0
m,sourcing,1,38,4,2,1,0,49,1
m,sourcing,2,29,1,5,0,0,51,0
m,sourcing,1,35,4,3,1,0,53,0
m,other,1,25,3,2,1,0,91,0
m,sourcing,1,30,3,3,0,0,58,1
m,referred,1,47,3,7,0,0,79,0
m,sourcing,1,35,2,7,0,0,53,0
m,sourcing,2,25,3,2,0,0,53,0
m,other,1,36,4,8,0,0,82,0
m,other,1,29,,1,0,0,65,1
f,sourcing,1,42,5,11,1,0,60,1
f,sourcing,1,28,2,6,0,0,52,0
m,sourcing,1,39,1,9,0,0,49,0
m,sourcing,1,32,5,3,1,0,69,1
f,other,1,31,,1,0,0,51,0
f,sourcing,1,20,,1,0,0,55,0
m,other,1,34,3,8,0,0,85,0
m,sourcing,2,46,4,3,1,0,74,0
m,other,1,47,3,7,0,0,44,0
f,other,1,44,4,13,0,0,53,0
m,sourcing,1,31,4,4,1,0,86,0
f,sourcing,1,23,,1,0,0,77,0
f,sourcing,1,33,3,5,0,0,57,0
m,other,1,41,3,12,1,0,52,0
m,other,1,60,5,17,0,0,59,0
m,other,1,31,5,4,1,0,63,1
f,other,1,37,3,11,0,0,57,0
m,sourcing,2,39,3,4,1,0,83,0
m,other,1,40,5,8,1,0,54,0
m,sourcing,1,42,5,4,0,0,50,0
m,other,1,35,4,6,1,0,57,1
f,sourcing,1,41,4,6,1,0,62,0
f,other,1,23,3,2,0,0,73,0
m,sourcing,2,31,3,4,0,0,50,0
m,other,1,42,2,19,0,0,79,0
m,other,3,29,4,2,0,0,49,0
f,other,1,30,,1,1,0,54,0
m,sourcing,1,41,4,6,1,0,63,0
f,other,1,40,3,2,1,0,90,1
m,referred,1,34,5,5,0,0,49,0
f,other,1,31,4,2,0,0,46,0
m,other,1,27,5,2,0,0,86,1
m,sourcing,4,30,3,2,0,0,72,0
f,other,1,27,4,4,1,0,72,1
m,other,4,36,4,7,0,0,82,0
m,sourcing,1,35,4,6,0,0,77,0
m,other,1,34,5,7,1,0,51,1
m,sourcing,1,37,5,3,0,1,92,1
f,sourcing,1,27,,1,1,0,58,0
m,sourcing,2,47,3,5,1,0,71,0
m,other,1,28,,1,1,0,83,0
f,other,1,40,5,5,0,0,68,0
f,other,1,30,,1,0,0,50,0
m,other,1,38,5,9,1,0,61,0
m,other,1,30,3,2,0,0,47,0
f,sourcing,1,28,5,3,0,0,46,0
m,sourcing,2,28,5,4,1,0,67,0
m,sourcing,1,35,4,7,0,0,58,0
m,other,1,32,3,8,0,0,89,1
m,sourcing,1,36,5,8,0,0,50,0
m,sourcing,1,24,,1,1,0,56,0
m,other,1,27,3,4,1,0,78,0
m,other,2,34,3,7,0,0,56,0
f,other,1,31,4,4,1,1,78,0
f,sourcing,1,30,4,2,0,0,77,0
f,other,2,30,3,7,1,1,76,0
m,sourcing,1,31,,1,1,0,56,0
m,other,1,30,5,3,1,0,84,0
m,sourcing,1,28,3,2,0,0,57,0
m,other,2,28,3,5,0,0,81,0
m,other,1,29,3,2,0,0,51,0
m,sourcing,1,46,3,11,1,0,51,0
m,sourcing,1,31,5,4,1,0,80,0
m,sourcing,1,28,1,4,0,0,72,0
m,other,1,31,4,6,0,0,50,0
f,other,1,37,3,9,0,0,48,0
f,other,2,34,5,8,0,0,88,1
m,sourcing,1,25,5,3,1,0,70,1
m,sourcing,1,40,4,4,1,0,57,0
m,other,1,43,3,7,1,0,56,1
m,other,1,36,1,5,0,0,56,0
m,sourcing,1,29,3,3,0,0,63,0
m,sourcing,2,35,3,2,0,0,56,0
m,other,1,34,5,2,0,0,84,0
f,sourcing,1,32,4,4,1,0,45,0
m,other,1,27,,1,1,0,50,0
m,sourcing,1,29,3,5,0,0,75,0
m,sourcing,1,34,1,4,0,0,48,0
m,sourcing,1,37,5,7,1,0,70,0
f,other,1,33,3,3,1,0,73,0
f,other,1,33,5,4,1,0,67,0
f,other,1,39,1,8,0,0,45,0
m,other,1,34,4,7,0,0,82,0
m,other,2,32,4,6,0,0,84,0
m,other,1,34,4,6,0,0,53,0
m,other,1,29,5,6,1,0,61,0
m,sourcing,2,28,1,2,0,0,50,0
f,other,1,28,2,5,0,0,75,0
f,other,2,35,3,9,0,0,70,0
f,other,2,40,3,3,0,0,86,0
f,other,2,27,2,4,0,0,54,0
f,other,3,26,3,3,1,0,70,0
m,sourcing,1,43,2,12,0,0,57,0
m,other,1,23,,1,0,0,61,0
m,sourcing,1,29,5,6,1,0,84,0
m,sourcing,1,43,3,15,0,0,51,0
m,sourcing,3,27,4,4,0,0,49,0
m,sourcing,1,26,4,4,1,0,70,0
f,other,1,31,5,5,1,0,72,0
m,other,1,40,4,11,0,0,58,0
f,other,2,39,5,12,1,0,55,0
f,other,2,30,3,6,0,0,57,0
m,other,1,47,4,4,1,0,77,0
m,other,1,34,4,7,1,0,48,1
f,other,1,33,4,9,0,0,64,0
m,other,1,41,5,7,0,0,51,0
m,other,1,29,1,4,0,0,80,0
f,other,1,32,3,4,0,0,86,0
f,other,1,47,5,9,0,0,68,0
m,other,1,35,4,3,0,0,65,0
m,other,1,27,4,2,0,0,75,0
m,other,1,29,1,3,0,0,81,0
m,sourcing,2,36,3,9,0,0,49,0
m,other,2,35,1,8,0,0,39,0
f,sourcing,2,34,3,2,0,0,70,0
f,sourcing,1,34,4,5,1,1,94,1
m,sourcing,1,39,3,2,1,0,60,0
m,other,1,26,5,2,1,0,51,0
f,sourcing,1,30,5,4,0,0,56,0
f,other,1,31,4,2,0,0,62,0
m,sourcing,1,44,5,6,0,0,48,0
m,other,1,38,3,4,1,0,49,0
m,other,1,40,1,3,0,0,78,0
m,sourcing,1,50,5,6,0,1,58,0
m,other,1,44,3,12,0,0,70,0
f,other,1,23,1,2,0,0,69,0
f,sourcing,1,36,1,2,0,0,53,0
m,sourcing,1,25,1,4,0,0,80,0
m,sourcing,1,34,5,4,1,0,58,0
m,sourcing,1,28,,1,0,0,85,0
m,other,2,30,5,6,1,0,81,0
m,sourcing,1,35,1,8,0,0,67,0
m,sourcing,1,33,4,8,0,0,86,0
m,other,1,30,3,4,1,0,80,0
m,other,2,27,5,3,1,0,85,0
m,other,4,29,,1,0,0,68,0
m,sourcing,1,43,3,3,0,0,58,0
m,other,2,28,3,5,1,0,86,0
m,other,1,31,5,3,1,0,68,0
f,other,1,43,4,12,0,0,58,0
f,other,1,35,5,9,1,0,60,0
m,other,2,35,3,9,0,0,49,0
m,other,1,50,3,8,1,0,59,0
f,other,1,26,4,3,0,0,50,0
m,sourcing,1,32,3,5,1,0,52,0
f,other,1,38,5,2,1,1,93,1
m,other,1,22,4,2,0,0,51,0
m,other,1,28,,1,1,0,52,0
f,sourcing,1,37,3,9,0,0,69,0
m,sourcing,2,54,3,9,1,0,86,0
m,sourcing,1,36,3,8,0,0,51,0
m,other,1,35,3,8,0,0,78,0
m,other,1,39,3,4,1,0,85,0
f,sourcing,1,31,5,4,1,0,63,0
m,other,2,38,3,7,1,1,60,0
m,sourcing,1,28,1,2,0,0,48,0
m,sourcing,3,26,2,3,0,0,52,0
m,sourcing,1,29,,1,0,0,54,0
m,sourcing,1,30,3,4,0,0,84,0
m,sourcing,2,37,2,4,1,0,57,1
m,other,1,25,,1,1,0,76,0
m,referred,1,26,4,2,0,0,82,0
m,other,1,31,4,4,0,0,78,0
f,other,1,38,5,7,1,0,82,0
m,other,1,39,4,9,0,0,49,0
m,other,1,30,5,4,0,1,50,0
f,other,1,34,5,8,1,0,67,0
f,other,1,33,3,5,1,0,72,0
f,other,1,29,5,3,1,0,78,0
m,sourcing,1,28,4,2,1,0,61,0
m,sourcing,1,24,,1,0,0,56,0
m,other,2,26,4,2,1,0,87,0
m,sourcing,1,34,5,4,0,0,64,0
m,sourcing,1,35,3,7,0,0,46,0
m,other,1,43,3,14,0,0,79,0
m,other,1,34,1,8,0,0,39,0
f,other,2,38,3,10,0,0,88,0
