name,sku,category,quantity,unit price,ext price,date
Carroll PLC,QN-82852,Belt,13,44.48,578.24,2014-09-27 07:13:03
Heidenreich-Bosco,MJ-21460,Shoes,19,53.62,1018.78,2014-07-29 02:10:44
"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,12,24.16,289.92,2014-03-01 10:51:24
Waters-Walker,AS-93055,Shirt,5,82.68,413.4,2013-11-17 20:41:11
Waelchi-Fahey,AS-93055,Shirt,18,99.64,1793.52,2014-01-03 08:14:27
"Kerluke, Reilly and Bechtelar",AS-93055,Shirt,17,52.82,897.94,2013-12-04 02:07:05
Cole-Eichmann,GS-86623,Shoes,18,15.28,275.04,2014-04-09 16:15:03
Hegmann and Sons,LL-46261,Shoes,7,78.78,551.46,2014-06-18 19:25:10
"Senger, Upton and Breitenberg",LW-86841,Shoes,17,38.19,649.23,2014-02-10 05:55:56
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,12,26.98,323.76,2014-05-20 00:21:28
Cole-Eichmann,KV-99194,Shirt,19,60.22,1144.18,2014-03-10 06:23:31
Hegmann and Sons,QN-82852,Belt,6,13.12,78.72,2013-11-03 18:38:16
"Kihn, McClure and Denesik",LL-46261,Shoes,4,59.69,238.76,2014-01-11 21:48:28
"Ernser, Cruickshank and Lind",FK-71853,Shirt,12,97.25,1167,2014-09-19 13:20:00
Koelpin PLC,GS-86623,Shoes,9,81.44,732.96,2014-08-12 08:05:27
Waters-Walker,LL-46261,Shoes,18,53.33,959.94,2014-07-15 23:21:11
"Kerluke, Reilly and Bechtelar",KV-99194,Shirt,4,35.62,142.48,2014-10-05 23:38:16
Koelpin PLC,KV-99194,Shirt,17,98.23,1669.91,2014-01-26 01:52:36
"Kihn, McClure and Denesik",WJ-02096,Belt,15,69.52,1042.8,2013-11-13 21:38:46
Carroll PLC,VG-32047,Shirt,12,80.12,961.44,2014-05-24 16:03:28
"Volkman, Goyette and Lemke",WJ-02096,Belt,13,81.19,1055.47,2014-01-08 02:45:07
"Senger, Upton and Breitenberg",LL-46261,Shoes,2,48.15,96.3,2014-04-28 07:01:04
"Kerluke, Reilly and Bechtelar",MJ-21460,Shoes,1,54.94,54.94,2014-08-09 11:22:15
Berge LLC,QN-82852,Belt,4,57.75,231,2013-11-04 09:48:26
Carroll PLC,AS-93055,Shirt,14,47.68,667.52,2014-01-12 00:28:09
Huel-Haag,QN-82852,Belt,2,41.4,82.8,2014-09-23 02:36:55
"Kerluke, Reilly and Bechtelar",VG-32047,Shirt,6,58.52,351.12,2014-03-14 02:28:57
"Volkman, Goyette and Lemke",LL-46261,Shoes,12,96.62,1159.44,2013-12-13 03:19:19
Kunze Inc,KV-99194,Shirt,12,93.67,1124.04,2014-02-19 06:03:09
